Date,Close,High,Low,Open,Volume
2017-05-22 16:10:00,1.5,1.5,1.5,1.5,100.0
2017-05-22 17:00:00,1.51,1.51,1.51,1.51,100.0
2017-05-22 17:35:00,1.51,1.51,1.51,1.51,1805.0
2017-05-22 17:40:00,1.52,1.52,1.52,1.52,2650.0
2017-05-22 17:45:00,1.52,1.52,1.52,1.52,1457.0
2017-05-22 17:55:00,1.54,1.54,1.54,1.54,1058.0
2017-05-22 18:00:00,1.54,1.54,1.54,1.54,1000.0
2017-05-23 07:45:00,1.58,1.58,1.55,1.55,1250.0
2017-05-23 08:05:00,1.53,1.53,1.53,1.53,700.0
2017-05-23 08:10:00,1.52,1.53,1.52,1.53,1800.0
2017-05-23 08:30:00,1.52,1.52,1.49,1.49,430.0
2017-05-23 08:40:00,1.5,1.52,1.5,1.52,2100.0
2017-05-23 08:50:00,1.51,1.51,1.51,1.51,1000.0
2017-05-23 08:55:00,1.51,1.51,1.51,1.51,300.0
2017-05-23 09:00:00,1.51,1.51,1.51,1.51,2290.0
2017-05-23 09:05:00,1.51,1.51,1.51,1.51,1764.0
2017-05-23 09:10:00,1.51,1.51,1.51,1.51,4915.0
2017-05-23 09:15:00,1.5,1.51,1.5,1.51,2184.0
2017-05-23 09:20:00,1.5,1.51,1.5,1.51,2734.0
2017-05-23 09:25:00,1.51,1.51,1.5,1.5,3975.0
2017-05-23 09:30:00,1.51,1.51,1.51,1.51,1184.0
2017-05-23 09:35:00,1.48,1.51,1.47,1.5,95412.0
2017-05-23 09:40:00,1.45,1.485,1.4002,1.485,151461.0
2017-05-23 09:45:00,1.4379,1.47,1.43,1.45,24353.0
2017-05-23 09:50:00,1.455,1.47,1.43,1.44,44801.0
2017-05-23 09:55:00,1.45,1.456,1.44,1.45,37776.0
2017-05-23 10:00:00,1.465,1.47,1.4432,1.4482,33241.0
2017-05-23 10:05:00,1.455,1.47,1.45,1.465,14610.0
2017-05-23 10:10:00,1.465,1.465,1.44,1.455,22952.0
2017-05-23 10:15:00,1.46,1.4695,1.46,1.465,4990.0
2017-05-23 10:20:00,1.48,1.48,1.46,1.465,16388.0
2017-05-23 10:25:00,1.46,1.48,1.46,1.48,11802.0
2017-05-23 10:30:00,1.455,1.465,1.45,1.465,16051.0
2017-05-23 10:35:00,1.46,1.47,1.45,1.455,9310.0
2017-05-23 10:40:00,1.46,1.47,1.46,1.465,9874.0
2017-05-23 10:45:00,1.46,1.47,1.45,1.45,17126.0
2017-05-23 10:50:00,1.473,1.48,1.46,1.46,13550.0
2017-05-23 10:55:00,1.48,1.48,1.475,1.48,1900.0
2017-05-23 11:00:00,1.48,1.48,1.4749,1.48,4710.0
2017-05-23 11:05:00,1.49,1.49,1.48,1.48,3330.0
2017-05-23 11:10:00,1.49,1.49,1.4894,1.49,12332.0
2017-05-23 11:15:00,1.49,1.49,1.48,1.49,10850.0
2017-05-23 11:20:00,1.49,1.49,1.4871,1.49,2800.0
2017-05-23 11:25:00,1.49,1.49,1.4801,1.49,6218.0
2017-05-23 11:30:00,1.495,1.495,1.48,1.49,11793.0
2017-05-23 11:35:00,1.5,1.5,1.49,1.495,2360.0
2017-05-23 11:40:00,1.5,1.5,1.49,1.5,17900.0
2017-05-23 11:45:00,1.49,1.505,1.49,1.5,11460.0
2017-05-23 11:50:00,1.495,1.5,1.49,1.495,8785.0
2017-05-23 11:55:00,1.4733,1.5,1.47,1.495,17200.0
2017-05-23 12:00:00,1.465,1.4795,1.46,1.4795,11115.0
2017-05-23 12:05:00,1.465,1.465,1.465,1.465,100.0
2017-05-23 12:10:00,1.47,1.47,1.45,1.465,35400.0
2017-05-23 12:15:00,1.4549,1.48,1.45,1.47,19400.0
2017-05-23 12:20:00,1.45,1.452,1.45,1.451,5000.0
2017-05-23 12:25:00,1.45,1.4552,1.45,1.455,14575.0
2017-05-23 12:30:00,1.4573,1.46,1.45,1.4594,11177.0
2017-05-23 12:35:00,1.46,1.46,1.4527,1.455,3300.0
2017-05-23 12:40:00,1.46,1.46,1.45,1.46,9763.0
2017-05-23 12:45:00,1.46,1.46,1.4506,1.4506,6201.0
